nx,ny,lat,lon,sand,silt,clay,slope,elev,MAT,MAP,pH,tot_OC,tot_N,s_type2_Acrisol,s_type2_Alisol,s_type2_Andosols,s_type2_Arenosol,s_type2_Cambisol,s_type2_Ferralsol,s_type2_Fluvisols,s_type2_Gleysol,s_type2_Lixisol,s_type2_Luvisol,s_type2_Nitisols,s_type2_Plinthosol,s_type2_Podzol,s_type2_Regosol,s_type2_Umbrisol
237,166,-6.7500,-61.2500,0.4060,0.2880,0.3060,0.5160,157.4467,26.2500,1570.3055,4.1200,0.6223,0.0688,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
238,166,-6.7500,-60.7500,0.5948,0.1914,0.2138,1.3127,203.2414,25.4972,1692.6111,4.3710,0.6028,0.0641,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
239,166,-6.7500,-60.2500,0.5496,0.1638,0.2866,1.0562,174.6856,25.8389,2002.8055,4.7420,0.5416,0.0536,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
240,166,-6.7500,-59.7500,0.6300,0.1200,0.2500,0.7909,140.6389,25.9361,2218.0000,4.6000,0.5344,0.0499,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
241,166,-6.7500,-59.2500,0.6113,0.1301,0.2586,0.6178,113.6114,26.0361,2153.7222,4.6370,0.5459,0.0485,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
242,166,-6.7500,-58.7500,0.6775,0.0751,0.1566,0.4680,82.3867,26.2500,2068.9443,4.2737,0.9249,0.0698,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
243,166,-6.7500,-58.2500,0.2929,0.0332,0.0154,0.3062,24.7237,26.6032,2254.9355,3.8732,2.3063,0.1472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
226,167,-6.2500,-66.7500,0.1278,0.3310,0.5412,2.2899,224.9725,25.5361,2469.1389,3.5260,0.7123,0.0832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
227,167,-6.2500,-66.2500,0.1608,0.3300,0.5092,3.4074,482.5322,25.6167,2506.9167,3.5700,0.7141,0.0731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
228,167,-6.2500,-65.7500,0.2356,0.3300,0.4344,2.0989,344.0997,25.6417,2501.1389,3.7400,0.7070,0.0653,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
229,167,-6.2500,-65.2500,0.1388,0.3300,0.5312,3.8906,604.2242,23.5278,2679.9167,3.5200,0.7153,0.0662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230,167,-6.2500,-64.7500,0.2400,0.3300,0.4300,3.5850,377.8800,26.7500,2757.0833,3.7500,0.6652,0.0605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
231,167,-6.2500,-64.2500,0.3500,0.3300,0.3200,0.9385,251.8120,25.9361,2857.0833,4.0000,0.6178,0.0551,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
232,167,-6.2500,-63.7500,0.2158,0.3300,0.4542,0.6485,318.6505,25.5750,2775.3611,3.6950,0.6668,0.0652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
233,167,-6.2500,-63.2500,0.2953,0.2749,0.4298,1.7688,376.6033,25.4167,2644.8333,3.7610,0.7159,0.0713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
234,167,-6.2500,-62.7500,0.7108,0.1319,0.1573,1.9840,431.2386,24.6528,2446.3057,4.6430,0.5976,0.0694,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
235,167,-6.2500,-62.2500,0.6978,0.1358,0.1664,3.4500,594.1989,24.5778,2288.1943,4.5380,0.5887,0.0724,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
236,167,-6.2500,-61.7500,0.5465,0.2171,0.2364,3.0081,349.4395,25.7694,2302.7778,4.1740,0.6184,0.0565,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
237,167,-6.2500,-61.2500,0.6913,0.1567,0.1520,1.4222,222.3567,25.1722,2056.8333,4.4010,0.6217,0.0676,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
238,167,-6.2500,-60.7500,0.8402,0.1218,0.0380,2.4041,575.0469,23.1583,1482.1111,4.5180,0.6199,0.0682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
239,167,-6.2500,-60.2500,0.6420,0.1416,0.2164,2.8921,399.1908,25.5028,1981.1389,4.6620,0.5590,0.0554,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
240,167,-6.2500,-59.7500,0.5280,0.1740,0.2980,0.5016,131.8081,25.8250,2333.3057,4.8100,0.5365,0.0506,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
241,167,-6.2500,-59.2500,0.5994,0.1374,0.2632,1.0085,141.5906,25.8028,2263.0278,4.6540,0.5472,0.0512,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
242,167,-6.2500,-58.7500,0.8306,0.0494,0.1200,0.9657,104.3119,26.0194,2051.6943,4.2980,0.7697,0.0608,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
